,CountryCode,ShortName,GDP,Life expectancy,Enrollment primary education,Enrollment secondary education,Enrollment tertiary education,Renewable energy consumption,Fossil fuel energy consumption,Year
281,HPC,Heavily indebted poor countries (HIPC),830.411465770609,59.7981248248856,101.102188110352,38.8497886657715,7.672969818115232,79.4813553420958,20.5653707757601,2012
282,HRV,Croatia,13509.1858157682,76.4756097560976,92.376609802246,98.3878707885742,55.83362960815421,19.4307060273165,81.9289185156779,2010
283,HRV,Croatia,14542.1775991872,76.7756097560976,94.38034057617192,97.9642181396484,58.805328369140604,17.2173333186891,81.5953158646396,2011
284,HRV,Croatia,13235.9775701749,76.92439024390241,96.82135009765629,98.42800903320308,61.6309585571289,19.9681308404715,79.1760766187254,2012
285,HTI,Haiti,662.279518162433,61.2401219512195,,,,79.0248407867626,17.774608838023102,2010
286,HTI,Haiti,740.947823017575,61.6451951219512,,,,79.00565048785408,17.9605584085342,2011
287,HTI,Haiti,766.8722334253349,62.033390243902396,,,,83.090350574474,18.1574430415316,2012
288,HUN,Hungary,13009.3453790731,74.2073170731707,102.098182678223,99.9496307373047,60.3774909973145,9.05342582385858,74.2662531462368,2010
289,HUN,Hungary,14032.774263336201,74.85853658536591,101.107597351074,100.770668029785,59.506130218505895,9.642452906144301,73.3366030578705,2011
290,HUN,Hungary,12819.712058803201,75.0634146341463,100.236763000488,101.61882019042999,59.6310806274414,10.185499566551,71.51698559694191,2012
291,IDN,Indonesia,3125.21993359966,68.1471951219512,109.92465209960899,78.4263076782227,24.885629653930696,37.8401641128113,66.6888811203797,2010
292,IDN,Indonesia,3647.626621811429,68.33439024390239,109.09822082519501,81.162727355957,27.2045497894287,38.4507992252419,65.4254427246718,2011
293,IDN,Indonesia,3700.52353809447,68.51956097560979,108.52625274658199,82.538932800293,31.5122604370117,37.0628533793735,66.4590760881079,2012
294,IMY,Isle of Man,,,,,,,,2010
295,IMY,Isle of Man,,,,,,,,2011
296,IMY,Isle of Man,,,,,,,,2012
297,IND,India,1387.88008401297,66.50614634146339,113.46710205078101,65.0720596313477,18.2267894744873,40.625529382855795,72.7324387435234,2010
298,IND,India,1471.65843924074,66.9041707317073,112.595321655273,68.5097808837891,23.271240234375,39.8541300419949,72.7530996369958,2011
299,IND,India,1449.66487452505,67.2898780487805,114.059913635254,71.4701614379883,24.804759979248,38.9906216330861,73.6374164000762,2012
300,IRL,Ireland,48260.665358323604,80.74390243902441,105.700393676758,121.15617370605499,70.6062393188477,5.25910935007182,89.57964901972342,2010
301,IRL,Ireland,52828.420025471394,80.7463414634146,104.729423522949,117.75919342041,73.4706802368164,7.0874139039996695,87.622476645854,2011
302,IRL,Ireland,48976.929753384815,80.89512195121951,104.412452697754,119.119331359863,71.2420272827148,6.95511278314283,86.3763998075078,2012
303,IRN,Iran,6299.918737906651,73.98317073170729,106.300796508789,81.12860107421879,43.0807685852051,0.895194789085619,99.4535140382457,2010
304,IRN,Iran,7874.48479201369,74.4125853658537,106.24764251709,83.7965774536133,48.829410552978494,0.911569389443978,99.42834790716101,2011
305,IRN,Iran,7710.513313884459,74.79934146341459,105.951538085938,86.2766876220703,55.1645317077637,0.929497113935958,99.33342384119041,2012
306,IRQ,Iraq,4487.36628937513,68.829756097561,,,,1.64929337693482,97.43008367159531,2010
307,IRQ,Iraq,5839.313081912789,69.0157804878049,,,,1.32394791367872,97.4784428109164,2011
308,IRQ,Iraq,6650.22886667156,69.2419268292683,,,,1.58612909812262,97.3403761010032,2012
309,ISL,Iceland,41620.0674537296,81.89756097560971,98.8367385864258,109.454307556152,78.4723663330078,76.1011696732484,17.5089354773885,2010
310,ISL,Iceland,45970.8936808937,82.35853658536591,98.5468368530273,108.553726196289,80.9423599243164,77.26750600171141,16.1666325534047,2011
311,ISL,Iceland,44258.8427932005,82.91707317073171,98.1103668212891,111.990447998047,81.3554306030273,78.1393236888574,10.2308241960191,2012
312,ISR,Israel,30736.3638939294,81.60243902439029,104.138320922852,101.948028564453,,8.50335600889084,96.351907306234,2010
313,ISR,Israel,33707.3249639477,81.6560975609756,104.98348236084,101.69799041747999,65.846549987793,9.02175159345035,96.48686976061992,2011
314,ISR,Israel,32818.858376882796,81.7048780487805,105.641639709473,101.357002258301,67.8918304443359,8.67849741480222,96.61953079252329,2012
315,ITA,Italy,35877.8719327318,82.0365853658537,101.06272125244101,100.275199890137,64.268928527832,10.0936636417561,86.5216697646237,2010
316,ITA,Italy,38364.9426699518,82.1878048780488,99.9844818115234,100.658653259277,63.8577690124512,11.1002348529515,85.0708807527021,2011
317,ITA,Italy,34844.4980928484,82.2390243902439,99.00792694091801,99.18505859375,62.4692916870117,12.092015270060699,83.86882345460441,2012
318,JAM,Jamaica,4902.03473104734,72.8471219512195,,91.04263305664058,28.934890747070302,13.705624180107,82.7753974991107,2010
319,JAM,Jamaica,5332.47436123876,73.07639024390251,,88.6040802001953,28.2233009338379,13.8752650263304,82.604421029381,2011
320,JAM,Jamaica,5445.89471774139,73.28248780487809,,,30.8226699829102,14.6560722397136,82.19292459436309,2012
321,JOR,Jordan,4370.721044760129,73.4358780487805,98.78912353515629,89.9105987548828,40.432670593261705,2.9680620216081803,97.34739254930427,2010
322,JOR,Jordan,4665.95427605269,73.5918780487805,98.877830505371,89.058837890625,39.9389305114746,3.02144386842695,95.99185140348257,2011
323,JOR,Jordan,4896.68844660237,73.7473902439024,98.4392471313477,87.8294677734375,46.609649658203104,3.06691904519934,97.24132313337459,2012
324,JPN,Japan,42909.2341523544,82.8426829268293,102.199501037598,101.61612701416,58.0790786743164,4.49748475828325,80.8835944333934,2010
325,JPN,Japan,46203.7095189836,82.5912195121951,102.628868103027,101.76540374755899,59.9240608215332,4.62610547446526,89.7188422680585,2011
326,JPN,Japan,46679.26543223031,83.0960975609756,102.30143737792999,101.809410095215,61.459320068359396,4.48148729400944,94.5568487405975,2012
327,KAZ,Kazakhstan,9070.64997199985,68.29536585365851,104.573799133301,,,1.38236337672173,98.78505276068027,2010
328,KAZ,Kazakhstan,11357.945490694,68.98,104.72673034667999,,,1.38189977497309,98.9338316937763,2011
329,KAZ,Kazakhstan,12120.3053397012,69.61,104.903457641602,102.167152404785,56.2928810119629,1.3582612145148998,98.89124330363708,2012
330,KEN,Kenya,991.850545143199,58.7186097560976,,,,76.309222028074,19.7164546660662,2010
331,KEN,Kenya,1012.8797726672999,59.5342195121951,,,,77.1205051481577,19.459117181990198,2011
332,KEN,Kenya,1184.92325604363,60.2727804878049,114.35608673095699,66.9884414672852,,78.53266267873519,17.7415358545906,2012
333,KGZ,Kyrgyz Republic,880.037775119109,69.3,99.5622100830078,83.9843292236328,42.1333503723145,25.594797557314703,70.51697531144441,2010
334,KGZ,Kyrgyz Republic,1123.8831680627,69.60243902439029,100.90540313720699,88.1920013427734,41.3454818725586,25.9507401694167,70.1008025476591,2011
335,KGZ,Kyrgyz Republic,1177.9747348784801,70.0024390243902,105.858940124512,,,22.4759417166349,73.8546491631262,2012
336,KHM,Cambodia,782.692789877004,66.3856585365854,129.88815307617202,,14.0676002502441,73.3050970777508,25.6002057347773,2010
337,KHM,Cambodia,879.1512440923399,66.87287804878049,126.44561767578101,,15.834110260009801,72.25212709165301,26.224237182084604,2011
338,KHM,Cambodia,946.476678710416,67.3288780487805,124.17540740966801,,,72.6311873998056,25.2392159237822,2012
339,KIR,Kiribati,1465.50457444028,65.3027804878049,,,,2.7113568610685004,,2010
340,KIR,Kiribati,1645.8097403139902,65.4406341463415,,,,2.89478866870843,,2011
341,KIR,Kiribati,1641.19741919084,65.5960731707317,,,,,,2012
342,KNA,St. Kitts and Nevis,13226.9525403536,,93.4698104858398,97.51074981689449,,,,2010
343,KNA,St. Kitts and Nevis,13737.322506299999,,90.22885131835942,94.48108673095699,,,,2011
344,KNA,St. Kitts and Nevis,13642.4959186773,,87.8874893188477,78.8028335571289,,,,2012
345,KOR,Korea,22151.208892132403,80.55121951219509,103.24181365966801,97.1094284057617,100.956108093262,1.2877823190450102,82.880418510337,2010
346,KOR,Korea,24155.829849308197,80.96707317073171,103.838180541992,96.7296600341797,100.800003051758,1.32246037910361,82.7553553459467,2011
347,KOR,Korea,24453.9719124644,81.2134146341464,,,,1.59882449920394,83.2318340574838,2012
348,KSV,Kosovo,3283.21193843172,69.9,,,,20.9454241023293,88.3409843369791,2010
349,KSV,Kosovo,3736.84099938332,70.1487804878049,,,,19.743536003779106,88.62152139377191,2011
350,KSV,Kosovo,3600.88700027693,70.4975609756098,,,,20.8900557184296,88.59800719988121,2012
351,KWT,Kuwait,37725.141206371,74.1619268292683,,,,,,2010
352,KWT,Kuwait,47551.382967448895,74.258243902439,,,,,,2011
353,KWT,Kuwait,50903.9046037897,74.359,,,,,,2012
354,LAC,Latin America & Caribbean (developing only),8183.52599605504,73.67941961717591,111.17324829101601,88.9783172607422,34.9250907897949,33.9635452571534,68.0560473309485,2010
355,LAC,Latin America & Caribbean (developing only),9361.44504210645,73.91266347832291,109.844871520996,88.6203384399414,36.217868804931605,33.03904637694939,68.588843598338,2011
356,LAC,Latin America & Caribbean (developing only),9063.90988068226,74.1467685008982,108.405937194824,88.038818359375,37.2657890319824,32.0564533221848,69.7824216182577,2012
357,LAO,Lao PDR,1147.09538658271,64.3336341463415,123.18994140625,44.8393898010254,16.0879497528076,87.47752219023609,,2010
358,LAO,Lao PDR,1300.97960150014,64.7981219512195,123.40730285644501,43.6019096374512,17.0884799957275,86.5279217784091,,2011
359,LAO,Lao PDR,1445.8694501426596,65.248512195122,122.740867614746,46.5407295227051,16.7253704071045,,,2012
360,LBN,Lebanon,8763.795964165509,79.25278048780491,103.403182983398,74.3497314453125,47.796600341796896,5.27373334420694,94.97600391082199,2010
361,LBN,Lebanon,9132.4342022666,79.55892682926829,103.74421691894501,76.1282119750977,49.73384094238279,5.231662310845941,95.52014106438659,2011
362,LBN,Lebanon,9729.28219293391,79.84636585365851,106.578979492188,73.9830627441406,46.2645111083984,4.97238470129638,96.3714448412622,2012
363,LBR,Liberia,326.604438111264,59.4412926829268,,,9.29885005950928,90.63533641886379,,2010
364,LBR,Liberia,378.8140624486769,59.86434146341461,102.384712219238,45.1567916870117,,89.3924845411912,,2011
365,LBR,Liberia,414.18515544174403,60.2043658536585,,,11.6383600234985,,,2012
366,LBY,Libya,11933.7792588018,71.73739024390241,,,,1.6025898461421002,99.23664641978941,2010
367,LBY,Libya,5517.7795692315685,71.68326829268291,,,,2.25655671924674,98.82277467620442,2011
368,LBY,Libya,13035.1922002032,71.6495609756098,,,,1.69168751697216,99.0020211307402,2012
